iter	Passed	Remaining
0	57	57264
1	57	28821
2	58	19303
3	58	14564
4	58	11720
5	59	9811
6	59	8449
7	60	7443
8	60	6647
9	60	6007
10	60	5479
11	61	5053
12	61	4688
13	62	4371
14	62	4097
15	62	3872
16	63	3662
17	63	3474
18	64	3305
19	64	3157
20	64	3020
21	65	2896
22	65	2785
23	66	2687
24	66	2595
25	66	2505
26	67	2422
27	67	2344
28	67	2273
29	68	2206
30	68	2147
31	69	2088
32	69	2035
33	69	1984
34	70	1935
35	70	1888
36	70	1844
37	71	1802
38	71	1766
39	72	1730
40	72	1692
41	72	1661
42	73	1630
43	73	1598
44	74	1570
45	74	1541
46	74	1514
47	75	1488
48	75	1463
49	75	1440
50	76	1418
51	76	1395
52	76	1372
53	77	1352
54	77	1331
55	77	1313
56	78	1295
57	78	1277
58	79	1261
59	79	1245
60	79	1230
61	80	1215
62	80	1199
63	81	1185
64	81	1171
65	81	1158
66	82	1143
67	82	1130
68	82	1119
69	83	1106
70	83	1093
71	83	1081
72	84	1070
73	84	1060
74	85	1050
75	85	1039
76	85	1029
77	86	1019
78	86	1009
79	86	999
80	87	989
81	87	980
82	87	969
83	88	960
84	88	952
85	88	945
86	89	937
87	89	930
88	90	923
89	90	916
90	91	909
91	91	902
92	91	895
93	92	887
94	92	881
95	93	876
96	93	869
97	93	862
98	93	854
99	94	847
100	94	841
101	94	836
102	95	830
103	95	823
104	96	818
105	96	812
106	96	807
107	97	802
108	97	797
109	97	792
110	98	788
111	98	783
112	99	778
113	99	774
114	99	769
115	100	764
116	100	758
117	100	754
118	101	749
119	101	744
120	101	740
121	102	736
122	102	733
123	103	728
124	103	725
125	104	722
126	104	717
127	104	712
128	104	708
129	105	705
130	105	702
131	106	698
132	106	695
133	107	691
134	107	688
135	107	684
136	108	681
137	108	677
138	108	674
139	109	672
140	109	668
141	110	664
142	110	661
143	110	658
144	111	655
145	111	652
146	111	649
147	112	645
148	112	642
149	112	639
150	113	636
151	113	633
152	113	630
153	114	627
154	114	624
155	114	621
156	115	619
157	115	616
158	116	614
159	116	611
160	116	607
161	116	604
162	117	604
163	118	601
164	118	600
165	119	598
166	119	595
167	119	593
168	120	590
169	120	587
170	120	585
171	121	583
172	121	580
173	121	578
174	122	576
175	122	574
176	122	571
177	123	569
178	123	567
179	124	566
180	124	563
181	124	561
182	125	559
183	125	557
184	126	555
185	126	553
186	126	551
187	127	549
188	127	547
189	127	545
190	128	543
191	128	541
192	129	539
193	129	538
194	129	536
195	130	534
196	130	532
197	130	530
198	131	528
199	131	526
200	132	525
201	132	523
202	132	521
203	133	519
204	133	518
205	134	517
206	134	515
207	134	513
208	135	512
209	135	510
210	136	508
211	136	507
212	136	505
213	137	503
214	137	501
215	137	500
216	138	498
217	138	497
218	139	496
219	139	495
220	139	493
221	140	491
222	140	489
223	140	488
224	141	486
225	141	485
226	142	483
227	142	482
228	142	480
229	143	479
230	143	477
231	143	476
232	144	475
233	144	473
234	145	472
235	145	470
236	145	469
237	146	468
238	146	467
239	147	465
240	147	463
241	147	462
242	147	460
243	148	459
244	148	457
245	148	456
246	149	455
247	149	454
248	150	452
249	150	451
250	150	450
251	151	448
252	151	447
253	151	446
254	152	445
255	152	444
256	153	442
257	153	441
258	153	440
259	154	438
260	154	437
261	154	436
262	155	435
263	155	434
264	156	433
265	156	432
266	156	430
267	157	429
268	157	428
269	158	427
270	158	426
271	158	425
272	159	423
273	159	422
274	159	421
275	160	420
276	160	418
277	160	417
278	161	416
279	161	415
280	161	414
281	162	413
282	162	411
283	162	410
284	163	409
285	163	408
286	164	407
287	164	406
288	164	405
289	165	404
290	165	403
291	165	402
292	166	401
293	166	399
294	166	398
295	167	397
296	167	397
297	168	396
298	168	395
299	169	394
300	169	393
301	169	392
302	170	391
303	170	390
304	170	389
305	171	388
306	171	387
307	171	386
308	172	384
309	172	383
310	172	382
311	173	381
312	173	380
313	173	379
314	174	378
315	174	377
316	174	376
317	175	375
318	175	374
319	175	373
320	176	373
321	176	372
322	177	371
323	177	370
324	177	369
325	178	368
326	178	367
327	178	366
328	179	365
329	179	364
330	179	363
331	179	362
332	180	360
333	180	359
334	180	358
335	181	357
336	181	356
337	181	355
338	181	354
339	182	353
340	182	352
341	182	351
342	182	350
343	183	349
344	183	348
345	183	347
346	183	346
347	184	344
348	184	343
349	184	342
350	184	341
351	185	341
352	185	340
353	185	339
354	186	338
355	186	337
356	186	336
357	186	335
358	187	334
359	187	333
360	187	332
361	187	331
362	188	330
363	188	329
364	188	328
365	189	327
366	189	326
367	189	325
368	189	324
369	190	323
370	190	322
371	190	321
372	190	320
373	191	319
374	191	318
375	191	317
376	191	316
377	192	316
378	192	315
379	192	314
380	192	313
381	193	312
382	193	311
383	193	310
384	193	309
385	194	308
386	194	307
387	194	307
388	194	306
389	195	305
390	195	304
391	195	303
392	195	302
393	196	301
394	196	300
395	196	300
396	197	299
